"Step","VAE - Train Loss","VAE - Train Loss__MIN","VAE - Train Loss__MAX","VAE - Validation Loss","VAE - Validation Loss__MIN","VAE - Validation Loss__MAX"
"0","86.00421256460699","86.00421256460699","86.00421256460699","0.014579601429199934","0.014579601429199934","0.014579601429199934"
"1","0.01330752957390973","0.01330752957390973","0.01330752957390973","0.01392808070638105","0.01392808070638105","0.01392808070638105"
"2","0.012900411471858492","0.012900411471858492","0.012900411471858492","0.013677956091457711","0.013677956091457711","0.013677956091457711"
"3","0.012756535208797683","0.012756535208797683","0.012756535208797683","0.013604134968419355","0.013604134968419355","0.013604134968419355"
"4","0.0127032643947656","0.0127032643947656","0.0127032643947656","0.013569489691595257","0.013569489691595257","0.013569489691595257"
"5","0.012680819493365319","0.012680819493365319","0.012680819493365319","0.013570049196553616","0.013570049196553616","0.013570049196553616"
"6","0.012668798264600049","0.012668798264600049","0.012668798264600049","0.013551913851583797","0.013551913851583797","0.013551913851583797"
"7","0.012657480711856258","0.012657480711856258","0.012657480711856258","0.013543107383459117","0.013543107383459117","0.013543107383459117"
"8","0.01264897651987646","0.01264897651987646","0.01264897651987646","0.013533007498652062","0.013533007498652062","0.013533007498652062"
"9","0.01264077497785825","0.01264077497785825","0.01264077497785825","0.013525660738210274","0.013525660738210274","0.013525660738210274"