"Step","End_to_end_1 - epoch_train_loss","End_to_end_1 - epoch_train_loss__MIN","End_to_end_1 - epoch_train_loss__MAX","End_to_end_1 - epoch_val_loss","End_to_end_1 - epoch_val_loss__MIN","End_to_end_1 - epoch_val_loss__MAX"
"444","8.07595157623291","8.07595157623291","8.07595157623291","0.9349462985992432","0.9349462985992432","0.9349462985992432"
"889","0.7867966294288635","0.7867966294288635","0.7867966294288635","0.9158914089202881","0.9158914089202881","0.9158914089202881"
"1334","0.6264934539794922","0.6264934539794922","0.6264934539794922","0.9603697657585144","0.9603697657585144","0.9603697657585144"
"1779","0.5101547241210938","0.5101547241210938","0.5101547241210938","1.0458542108535767","1.0458542108535767","1.0458542108535767"
"2224","0.42421954870224","0.42421954870224","0.42421954870224","1.181627631187439","1.181627631187439","1.181627631187439"
"2669","0.35019537806510925","0.35019537806510925","0.35019537806510925","1.2501614093780518","1.2501614093780518","1.2501614093780518"
"3114","0.29802632331848145","0.29802632331848145","0.29802632331848145","1.4839434623718262","1.4839434623718262","1.4839434623718262"
"3559","0.2623004913330078","0.2623004913330078","0.2623004913330078","1.5365465879440308","1.5365465879440308","1.5365465879440308"
"4004","0.22565989196300507","0.22565989196300507","0.22565989196300507","1.7436541318893433","1.7436541318893433","1.7436541318893433"
"4449","0.20583441853523254","0.20583441853523254","0.20583441853523254","1.7527505159378052","1.7527505159378052","1.7527505159378052"